av, ave			avenue
AM				ante meridiem
bac				baccalauréat
bd, bvd			boulevard
bcc				blind carbon copy
ca				circa
CAD				canadian dollar
cc				carbon copy
CDD				contrat à durée déterminée
CDI				contrat à durée indéterminée
CRS				compagnies républicaines de sécurité
Dr				docteur
ed				éditions
eg				exempli gratia
en				english
etc				et cætera
EUR				eur
fg				faubourg
fr				français
FRF				franc français
h				heure
HS				hors service
HT				hors taxes
ie, cad			id est, c'est-à-dire
kg				kilogram
km				kilometre
lv, nv			level, niveau
MA				Moyen-Âge
min				minute
Mlle, Mlles		mademoiselle, mesdemoiselles
Mme				madame
Mr				monsieur
ms				millisecond
NB				nota bene
NDLR			note de l'auteur
p				page
PDG				président-directeur général
PM				post meridiem
Pr				professeur
pt, pts			point, points
pte				porte
QED, CQFD		quod erat demonstratum, ce qu'il fallait démontrer
RAS				rien à signaler
ref				référence
RDV, RV			rendez-vous
sec				seconde
sl				sans lieu (de publication)
ssi				si et seulement si
SDF				sans domicile fixe
STP				s'il te plaît
SVP				s'il vous plaît
TED				trouble envahissant du développement
TGV				train à grande vitesse
TSA				trouble du spectre de l'autisme
TTC				toutes taxes comprises
TVA				taxe sur la valeur ajoutée
tel				téléphone
tq				tel que
USD				US dollar
vol				volume
vs				versus
XL, XXL, XXXL	extra large, extra extra large, extra extra extra large
XS				extra small
ZEP				zone d'éducation prioritaire
ZI				zone industrielle
ZUP				zone à urbaniser en priorité
